"Name","State","Notes","User","Tags","Created","Runtime","Sweep","add_column","LG_NRMSE_BEST","LG_NRMSE_MEAN","Y_01_NRMSE","Y_02_NRMSE","Y_03_NRMSE","Y_04_NRMSE","Y_05_NRMSE","Y_06_NRMSE","Y_07_NRMSE","Y_08_NRMSE","Y_09_NRMSE","Y_10_NRMSE","Y_11_NRMSE","Y_12_NRMSE","Y_13_NRMSE","Y_14_NRMSE"
"generous-sweep-23","finished","-","zbooster","","2022-08-16T03:37:13.000Z","111","1537riwk","X_47","1.936926112075647","1.952128115297525","0.2562611469706928","0.3568134884958983","0.3495918099159117","0.1892796095983896","0.07923559411773422","0.10372844102017646","0.12917798354469023","0.023895100302623703","0.02370547903152509","0.03815321267225933","0.033218982530568694","0.023844671653320264","0.02379546849174001","0.02383049215877122"
"legendary-sweep-25","finished","-","zbooster","","2022-08-16T03:41:07.000Z","112","1537riwk","X_23","1.936926112075647","1.952128115297525","0.2562611469706928","0.3568134884958983","0.3495918099159117","0.1892796095983896","0.07923559411773422","0.10372844102017648","0.12917798354469023","0.0238951003026237","0.023705479031525093","0.03815321267225933","0.033218982530568694","0.02384467165332026","0.02379546849174001","0.02383049215877122"
"radiant-sweep-22","finished","-","zbooster","","2022-08-16T03:35:18.000Z","112","1537riwk","X_48","1.936926112075647","1.952128115297525","0.2562611469706928","0.3568134884958983","0.3495918099159117","0.1892796095983896","0.07923559411773422","0.10372844102017646","0.12917798354469023","0.0238951003026237","0.023705479031525093","0.03815321267225933","0.033218982530568694","0.023844671653320264","0.02379546849174001","0.02383049215877122"
"Base","finished","-","zbooster","","2022-08-16T02:34:05.000Z","114","3vy4v14g","","1.9368643325573032","1.9521618161934111","0.25626679208636144","0.35681871528479064","0.3495976194021707","0.1892796362977097","0.07923348471601739","0.10373940156291477","0.12917724582634765","0.023895626150200373","0.02370591724722884","0.03815408210219905","0.033219273443254094","0.02384534699696208","0.023795872356729215","0.023831098455222972"
"divine-sweep-21","finished","-","zbooster","","2022-08-16T03:33:23.000Z","113","1537riwk","X_25","1.9369585631626045","1.95217073409213","0.2562359220444163","0.35673938871034583","0.34958057976867174","0.18929202698349476","0.07923395642074943","0.10383661249264968","0.12918982579123012","0.023896008736370176","0.02370647827405669","0.0381623107275043","0.03322310633330234","0.02384529489517514","0.023797795246510833","0.023830563478066898"
"rosy-sweep-28","finished","-","zbooster","","2022-08-16T03:47:03.000Z","114","1537riwk","X_12","1.9378159112770716","1.9521911013697313","0.25624832073231146","0.3568048081727917","0.3495449456198626","0.18926985237337468","0.0792301951052991","0.1038245568835473","0.12917874097268528","0.023900484418115205","0.02371019071166138","0.038163869617179554","0.03322375945845239","0.023851767755868857","0.02380202196783711","0.023837206725147254"
"charmed-sweep-31","running","-","zbooster","","2022-08-16T03:53:20.000Z","111","1537riwk","X_02","1.9367815825407029","1.952276534120178","0.2562959196936313","0.3568404443364134","0.3496218823193928","0.1892518409145056","0.07922468731214305","0.10379310806771393","0.1291726772482332","0.023895454565368426","0.023707045687712928","0.03816042122007566","0.03321950306256745","0.02384605679165449","0.023796720697391378","0.023831569311894"
"noble-sweep-29","finished","-","zbooster","","2022-08-16T03:49:03.000Z","119","1537riwk","X_27","1.936505293054464","1.9523365733289664","0.25630172676209084","0.35679568816027196","0.3495856365453326","0.18930258930319527","0.0792445206695003","0.10381734094692084","0.1292033862522186","0.023896107125166953","0.02370533908117896","0.03816204488339757","0.03322416512350111","0.02384417564250592","0.02379544929803748","0.023829004382708713"
"smooth-sweep-5","finished","-","zbooster","","2022-08-16T03:01:06.000Z","115","1537riwk","X_21","1.9371529728364576","1.952341425893427","0.2562969672776009","0.3569455006182333","0.34961053743221654","0.18910743406702168","0.07921244501769635","0.1039680411499564","0.1291148151845202","0.023893377709026487","0.023703380018021532","0.03817195017889401","0.03322317420206339","0.02384088310385612","0.023791145122395187","0.02383195112067099"
"kind-sweep-32","finished","-","zbooster","","2022-08-16T03:55:15.000Z","114","1537riwk","X_24","1.9369509959432107","1.9526082952232868","0.2563534920808047","0.3569049884976191","0.3496930107282128","0.1892885212592756","0.07925173729054785","0.10379703782384855","0.12918317579688207","0.023896853124224907","0.023706267972515176","0.038164330675870606","0.033220270382426906","0.02384676056287732","0.023796457437932635","0.02383162826996551"
"trim-sweep-16","finished","-","zbooster","","2022-08-16T03:23:20.000Z","116","1537riwk","X_39","1.936876155188742","1.9526831316604885","0.2563289929251614","0.3568814708196239","0.3496651291111994","0.189338371489226","0.07924010920229443","0.10385927217744868","0.12919797834339355","0.02389819847066163","0.023709240258222068","0.03817840025621476","0.03322541830705672","0.023847487468149457","0.02379904520413137","0.0238321131199034"
"earthy-sweep-14","finished","-","zbooster","","2022-08-16T03:19:20.000Z","120","1537riwk","X_56","1.9363776051640775","1.9528251945293744","0.2563758713549165","0.3569777577176165","0.3497245923285582","0.18937419798761368","0.07926359727061515","0.10353146353347216","0.12929335931412247","0.023914784628747555","0.023723654406140587","0.03817088435804689","0.03325558101702438","0.023864223108054437","0.023814318698578286","0.023849783978735137"
"summer-sweep-7","finished","-","zbooster","","2022-08-16T03:05:07.000Z","121","1537riwk","X_52","1.937503223717084","1.9528873387656236","0.2563015256090851","0.35701530413997595","0.34983000362673444","0.189119701860276","0.0792246694382926","0.103893736831187","0.1292509163276666","0.023906569979404026","0.023717843703623676","0.03818645173151235","0.033230203803134364","0.023856849299861003","0.023804017236662485","0.023841059615683884"
"lemon-sweep-20","finished","-","zbooster","","2022-08-16T03:31:22.000Z","116","1537riwk","X_40","1.936976307771964","1.952952125914638","0.2563686692421721","0.3569377840109696","0.34967908801441194","0.18936360169413252","0.07927591679454923","0.10385553731712734","0.1292308056450166","0.023900273645228825","0.02371395582488376","0.03817734230889625","0.033238641999913145","0.023849537073906295","0.023801612899727737","0.023837024170981512"
"visionary-sweep-2","finished","-","zbooster","","2022-08-16T02:54:48.000Z","115","1537riwk","X_37","1.9381676813084732","1.952963930865391","0.2563654011809372","0.3569412613387561","0.34971609872619697","0.18940192605766","0.07926051162484497","0.10376479018559934","0.12924256824499714","0.023908572089087636","0.023717704464714617","0.03817981426110774","0.033235536504669864","0.02385629623245477","0.023808419396611137","0.02384480466813766"
"bumbling-sweep-3","finished","-","zbooster","","2022-08-16T02:56:49.000Z","138","1537riwk","X_51","1.937541210890887","1.9530563861472436","0.2564833548274058","0.35708355930452457","0.34984958404026156","0.18918882543545673","0.07922797168530336","0.10379116249060608","0.12920113118342047","0.023898855460420712","0.02371025297260816","0.03816844850289587","0.03322068417356312","0.02384959553614151","0.02380041105430302","0.02383766059485313"
"super-sweep-6","finished","-","zbooster","","2022-08-16T03:03:06.000Z","115","1537riwk","X_36","1.9373532147467272","1.9531352459213975","0.25631438776346294","0.35694370877718223","0.3497141580795614","0.18939802838043387","0.07927079974764945","0.10391373931358965","0.12927646971719323","0.02390844520803959","0.023716663334999905","0.03818684337442239","0.03323571192360043","0.023856920596373975","0.023807865295167013","0.023843557012299375"
"jolly-sweep-17","finished","-","zbooster","","2022-08-16T03:25:21.000Z","120","1537riwk","X_54","1.9373789224576805","1.953187119893365","0.2564024433087087","0.3570024903143939","0.3497508337914642","0.1893819262369932","0.07930711217207843","0.10376307872706136","0.12926365364285025","0.023908557555940315","0.02372114742365939","0.038187421596122","0.033239620803011155","0.023855599358427786","0.02380420178225619","0.023843014030500397"
"exalted-sweep-9","finished","-","zbooster","","2022-08-16T03:09:12.000Z","114","1537riwk","X_34","1.937688639163218","1.9532175803021068","0.25637022741845056","0.35694013403186037","0.34966867592652234","0.18940500136479765","0.07927653502055801","0.10393555908666909","0.12924125617168594","0.023918663124485953","0.023727246460613496","0.03820150578190409","0.03324457618912881","0.023866607365001256","0.02381760089931475","0.0238527810321086"
"rural-sweep-4","finished","-","zbooster","","2022-08-16T02:59:11.000Z","113","1537riwk","X_35","1.9385418231216536","1.953457303054512","0.2564133160306673","0.35697995699208007","0.34978067857123135","0.1894495605413033","0.07928527757614962","0.10391890693702162","0.12926066707315556","0.02390704855376564","0.023718613882687083","0.03819832257388871","0.033238518281013964","0.02385613167341532","0.023808349040404405","0.023842872872652857"
"cerulean-sweep-10","finished","-","zbooster","","2022-08-16T03:11:07.000Z","121","1537riwk","X_55","1.938821024449421","1.9535543172438383","0.25637570784725144","0.35701352540819775","0.349755250845746","0.18936187323106107","0.07928765206398623","0.10399172284473576","0.12928683707212632","0.02392375369149011","0.023732354742655077","0.03821638901995032","0.03325400754329112","0.023874106332351697","0.02382478119176855","0.02385709080830809"
"cool-sweep-1","finished","-","zbooster","","2022-08-16T02:52:43.000Z","122","1537riwk","X_50","1.9382714763526625","1.9536077598102837","0.25642582355481325","0.3570075474627662","0.3497752930549734","0.18931167081457695","0.0792804626970672","0.10410594194078096","0.1292574262254884","0.023914981420771857","0.02372657663760227","0.038214228031935485","0.03324139651208774","0.02386620445778632","0.023814692208977813","0.023849685356408457"
"driven-sweep-13","finished","-","zbooster","","2022-08-16T03:17:13.000Z","121","1537riwk","X_53","1.9382429046133487","1.9539308345410724","0.25644890203667625","0.35707518911340924","0.3498605525185896","0.18934545645562623","0.07928675994440879","0.10416205327615158","0.12925748070108958","0.023914116923380975","0.02372843267252008","0.038215858168448136","0.03323786204344968","0.02386411993616421","0.02381409632683226","0.023849852230459247"
