"Name","Runtime","Notes","State","Sweep","remove_column","Tags","LG_NRMSE_MEAN","Y_01_NRMSE","Y_02_NRMSE","Y_03_NRMSE","Y_04_NRMSE","Y_05_NRMSE","Y_06_NRMSE","Y_07_NRMSE","Y_08_NRMSE","Y_09_NRMSE","Y_10_NRMSE","Y_11_NRMSE","Y_12_NRMSE","Y_13_NRMSE","Y_14_NRMSE","LG_NRMSE_BEST"
"denim-sweep-51","265","-","finished","g7erz3bw","X_50","","1.956854256446576","0.2569727483429994","0.3575350862943628","0.35041652064861467","0.1893162733538564","0.0792499122245906","0.10504118851740504","0.12924173554293772","0.02389830044740077","0.023705701838889277","0.03836675867891324","0.033282202815993644","0.02385082569534593","0.023797884623928695","0.02384476434690411","1.9377301368290103"
"solar-sweep-38","269","-","finished","g7erz3bw","X_37","","1.9568826141010232","0.25700497480777446","0.3575017170938612","0.3503696234515779","0.189321172155714","0.079260115138827","0.10504030391178808","0.12926628366542103","0.023901466117249377","0.023709892324934333","0.03837490195422988","0.033290939444225856","0.023856989297388297","0.02380295704390328","0.02384814642568587","1.936939150715061"
"divine-sweep-52","261","-","finished","g7erz3bw","X_51","","1.9570359107691004","0.25698177442969133","0.3575489267778615","0.35037466005285667","0.18942400748283","0.07929645664959847","0.104961915969504","0.12929932152326742","0.023904197103371404","0.02371321212627777","0.038365408494068984","0.03329265625698755","0.023859916416011866","0.02380560293988509","0.023849602549092058","1.9380510257213617"
"silvery-sweep-36","267","-","finished","g7erz3bw","X_35","","1.957036690478298","0.2569916872142918","0.35751540990159325","0.35036224080186373","0.18930021048668247","0.0792652735770459","0.10516399411843642","0.12927846097138582","0.023903525358737063","0.023713529046467025","0.038378936332774255","0.03329455106310191","0.023857866657434872","0.023804406665282205","0.02385043779719386","1.9376256568583847"
"drawn-sweep-22","266","-","finished","g7erz3bw","X_21","","1.9570811232011276","0.25713269280376255","0.3575857271553803","0.3505247796727544","0.18941702283124345","0.07925355309956313","0.10475960786157246","0.12925509220125797","0.023906975764856345","0.02371639356944582","0.03835859409709893","0.03328715841977203","0.023860363073323378","0.02380609522268829","0.0238499771503304","1.939066361529846"
"ethereal-sweep-37","272","-","finished","g7erz3bw","X_36","","1.9571310867410383","0.25699497616691636","0.35753155106779466","0.35035680173364925","0.18933513424628604","0.07926818406000143","0.10515727602819348","0.12928406902113787","0.023906847121793723","0.023717500184984364","0.03838690681009803","0.03329768220212563","0.023862383866309587","0.023809659293220715","0.02385514704937306","1.93755407823648"
"gallant-sweep-53","261","-","finished","g7erz3bw","X_52","","1.9572131227078915","0.25706295125071554","0.3575399173153549","0.35035374984324796","0.18939456825192705","0.0792510484086717","0.10517850733502174","0.12925357611043328","0.023902494916037253","0.023711046674241548","0.03837857512837227","0.033289350418267694","0.02385623070054347","0.023805918013928062","0.02384782565484738","1.9378653416142784"
"deep-sweep-14","265","-","finished","g7erz3bw","X_13","","1.957231851450733","0.2571411062126138","0.3576890899588772","0.3506506843369629","0.18934755142794196","0.07929421379125486","0.10465149529672207","0.12936269435789977","0.02389364461587514","0.02370386216638796","0.03831935224438145","0.033287509754147314","0.02384747126952748","0.023797071310055696","0.023840008708455995","1.935995138794438"
"rural-sweep-35","268","-","finished","g7erz3bw","X_34","","1.9572866049432505","0.2570515390341693","0.3576142331062785","0.35046340919692626","0.1893296209193362","0.07926603822534818","0.1051133490693579","0.12924352022606103","0.02390503671636876","0.023712956546494825","0.03838112543049742","0.03329209603773115","0.023859785937811063","0.02380621486441264","0.023850330333688018","1.9377148532439623"
"graceful-sweep-56","269","-","finished","g7erz3bw","X_55","","1.9572976628493912","0.2570987455983754","0.3576518468536441","0.35053862589588636","0.18927995210162335","0.07924583150239335","0.1050840842343633","0.12923931461559002","0.023897896829244016","0.02370702000419407","0.03836457503744803","0.033285622994838074","0.023852917252756334","0.023798800437676217","0.02384516996513459","1.9377322592431163"
